pathway_id	gene_id
mmu00190	mmu:11984
mmu00190	mmu:12856
mmu00190	mmu:12857
mmu00190	mmu:12858
mmu00190	mmu:12859
mmu00190	mmu:12861
mmu00190	mmu:12862
mmu00190	mmu:12864
mmu00190	mmu:12865
mmu00190	mmu:12866
mmu00190	mmu:12867
mmu00190	mmu:12868
mmu00190	mmu:12869
mmu00190	mmu:13063
mmu00190	mmu:13067
mmu00190	mmu:140494
mmu00190	mmu:17705
mmu00190	mmu:17706
mmu00190	mmu:17708
mmu00190	mmu:17709
mmu00190	mmu:17710
mmu00190	mmu:17711
mmu00190	mmu:17716
mmu00190	mmu:17717
mmu00190	mmu:17718
mmu00190	mmu:17719
mmu00190	mmu:17720
mmu00190	mmu:17721
mmu00190	mmu:17722
mmu00190	mmu:17991
mmu00190	mmu:17992
mmu00190	mmu:17993
mmu00190	mmu:17995
mmu00190	mmu:192113
mmu00190	mmu:20463
mmu00190	mmu:21871
mmu00190	mmu:22272
mmu00190	mmu:22273
mmu00190	mmu:225887
mmu00190	mmu:226139
mmu00190	mmu:226646
mmu00190	mmu:227197
mmu00190	mmu:228033
mmu00190	mmu:230075
mmu00190	mmu:242341
mmu00190	mmu:27060
mmu00190	mmu:27425
mmu00190	mmu:28080
mmu00190	mmu:333182
mmu00190	mmu:338375
mmu00190	mmu:407785
mmu00190	mmu:407790
mmu00190	mmu:54405
mmu00190	mmu:54411
mmu00190	mmu:57423
mmu00190	mmu:595136
mmu00190	mmu:623286
mmu00190	mmu:66043
mmu00190	mmu:66046
mmu00190	mmu:66052
mmu00190	mmu:66091
mmu00190	mmu:66108
mmu00190	mmu:66142
mmu00190	mmu:66144
mmu00190	mmu:66152
mmu00190	mmu:66218
mmu00190	mmu:66237
mmu00190	mmu:66290
mmu00190	mmu:66335
mmu00190	mmu:66377
mmu00190	mmu:66414
mmu00190	mmu:66416
mmu00190	mmu:66445
mmu00190	mmu:66495
mmu00190	mmu:66576
mmu00190	mmu:66594
mmu00190	mmu:66694
mmu00190	mmu:66916
mmu00190	mmu:66925
mmu00190	mmu:66945
mmu00190	mmu:67003
mmu00190	mmu:67126
mmu00190	mmu:67130
mmu00190	mmu:67184
mmu00190	mmu:67264
mmu00190	mmu:67273
mmu00190	mmu:67530
mmu00190	mmu:67680
mmu00190	mmu:67895
mmu00190	mmu:67942
mmu00190	mmu:68194
mmu00190	mmu:68197
mmu00190	mmu:68198
mmu00190	mmu:68202
mmu00190	mmu:68342
mmu00190	mmu:68349
mmu00190	mmu:68375
mmu00190	mmu:68775
mmu00190	mmu:69802
mmu00190	mmu:69875
mmu00190	mmu:70316
mmu00190	mmu:70383
mmu00190	mmu:71679
mmu00190	mmu:72900
mmu00190	mmu:73834
mmu00190	mmu:74776
mmu00190	mmu:74915
mmu00190	mmu:75406
mmu00190	mmu:75483
mmu00190	mmu:76252
mmu00190	mmu:76429
mmu00190	mmu:78174
mmu00190	mmu:78330
mmu00190	mmu:84682
mmu00220	mmu:108682
mmu00220	mmu:109652
mmu00220	mmu:109900
mmu00220	mmu:11846
mmu00220	mmu:11847
mmu00220	mmu:11898
mmu00220	mmu:14645
mmu00220	mmu:14660
mmu00220	mmu:14661
mmu00220	mmu:14718
mmu00220	mmu:14719
mmu00220	mmu:18125
mmu00220	mmu:18126
mmu00220	mmu:18127
mmu00220	mmu:18416
mmu00220	mmu:216456
mmu00220	mmu:217214
mmu00220	mmu:227231
mmu00220	mmu:69719
mmu00220	mmu:76282
mmu00220	mmu:76615
mmu00230	mmu:100862375
mmu00230	mmu:102216272
mmu00230	mmu:103850
mmu00230	mmu:104110
mmu00230	mmu:104111
mmu00230	mmu:105446
mmu00230	mmu:108147
mmu00230	mmu:109674
mmu00230	mmu:110385
mmu00230	mmu:110639
mmu00230	mmu:110855
mmu00230	mmu:11486
mmu00230	mmu:11512
mmu00230	mmu:11513
mmu00230	mmu:11514
mmu00230	mmu:11515
mmu00230	mmu:11534
mmu00230	mmu:11564
mmu00230	mmu:11565
mmu00230	mmu:11566
mmu00230	mmu:11636
mmu00230	mmu:11637
mmu00230	mmu:11639
mmu00230	mmu:11717
mmu00230	mmu:11821
mmu00230	mmu:12495
mmu00230	mmu:12496
mmu00230	mmu:12497
mmu00230	mmu:12499
mmu00230	mmu:13178
mmu00230	mmu:14198
mmu00230	mmu:14450
mmu00230	mmu:14544
mmu00230	mmu:14917
mmu00230	mmu:14918
mmu00230	mmu:14919
mmu00230	mmu:14923
mmu00230	mmu:15452
mmu00230	mmu:16434
mmu00230	mmu:171567
mmu00230	mmu:18102
mmu00230	mmu:18103
mmu00230	mmu:18160
mmu00230	mmu:18573
mmu00230	mmu:18574
mmu00230	mmu:18575
mmu00230	mmu:18576
mmu00230	mmu:18577
mmu00230	mmu:18578
mmu00230	mmu:18582
mmu00230	mmu:18583
mmu00230	mmu:18584
mmu00230	mmu:18585
mmu00230	mmu:18587
mmu00230	mmu:18588
mmu00230	mmu:18605
mmu00230	mmu:18950
mmu00230	mmu:19139
mmu00230	mmu:20133
mmu00230	mmu:20135
mmu00230	mmu:207728
mmu00230	mmu:209558
mmu00230	mmu:210044
mmu00230	mmu:210808
mmu00230	mmu:215446
mmu00230	mmu:218461
mmu00230	mmu:22262
mmu00230	mmu:224129
mmu00230	mmu:22436
mmu00230	mmu:224794
mmu00230	mmu:225600
mmu00230	mmu:229363
mmu00230	mmu:229589
mmu00230	mmu:229665
mmu00230	mmu:229949
mmu00230	mmu:230103
